confirmed	death	recovered
61850	2350	nan
64584	2443	nan
68824	2805	nan
71030	3156	nan
75317	3518	nan
78467	3840	nan
81420	4070	nan
85301	4362	nan
88722	4496	nan
92387	4753	nan
95914	5150	nan
100025	5426	nan
102196	5683	nan
105498	5914	nan
109038	5938	nan
111188	6044	nan
113856	6442	15642.0
116365	6771	15642.0
118652	7228	15642
121190	7538	15642
123717	7742	15642
126744	7871	15642
128269	7910	15642
130593	8244	15642.0
131890	8549	15642.0
133991	8807	15642.0
135840	8960	15642.0
137397	9116	15642.0
138754	9256	15642.0
140206	9340	15642.0
140917	9531	15642.0
141560	9714	15642.0
142704	9946	15642.0
143984	10148	15642.0
145089	10261	22939.0
146504	10363	23299.0
148240	10439	23496.0
149356	10587	23657.0
150776	10749	23945.0
151586	10846	24236.0
152579	10985	24491.0
153140	11082	24762.0
154154	11138	25040.0
155092	11147	25253.0
155764	11194	25384.0
156628	11339	25552.0
157185	11409	25804.0
158844	11531	26084.0
159608	11634	26301.0
160445	11698	26560.0
160918	11723	26703.0
161545	11771	26815.0
162068	11880	27008.0
162530	11970	27231.0
163336	12049	27433.0
163893	12106	27641.0
164164	12176	27824.0
164497	12214	27941.0
164796	12303	28036.0
165346	12377	28207.0
165816	12443	28376.0
166164	12489	28509.0
166605	12621	28606.0
166881	12659	28714.0
167103	12708	28819.0
167426	12792	28872.0
167703	12835	28966.0
168107	12869	29101.0
168496	12902	29209.0
168834	12924	29318.0
169142	12939	29450.0
169415	12974	29522.0
169734	13025	29517.0
169892	13076	29627.0
170196	14872	29740.0
170584	14914	29855.0
170873	14948	29967.0
171182	14975	30092.0
171272	14992	30163.0
171667	15035	30213.0
171928	15078	30300.0
172356	15107	30383.0
172742	15164	30464.0
173033	15189	30565.0
173402	15211	30660.0
173611	15229	30729.0
173878	15281	30774.0
174039	15332	30844.0
174270	15448	30938.0
174628	15479	31014.0
174959	15525	31092.0
175298	15525	31190.0
175522	15560	31261.0
175915	15582	31318.0
176278	15634	31400.0
176501	15665	31400.0
176551	15684	31400.0
176814	15699	31400.0
176783	15706	31405.0
176963	15715	31448.0
177256	15737	31781.0
177645	15707	31850.0
177887	15730	31925.0
178345	15765	32001.0
178858	15776	32061.0
179363	15787	32133.0
179812	15804	32275.0
180295	15825	32313.0
180600	15798	32365.0
180970	15809	32423.0
181660	15819	32475.0
182029	15830	32475.0
182350	15836	32475.0
182614	15846	32660.0
182970	15857	32697.0
183327	15842	32749.0
183701	15849	32811.0
184061	15849	32956.0
184429	15869	32956.0
184773	15874	32977.0
185031	15878	33013.0
185475	15890	33223.0
185938	15885	33223.0
186594	15893	33223.0
187164	15903	33223.0
187442	15910	33264.0
187455	15912	33320.0
187767	15916	33381.0
188098	15925	33403.0
188427	15926	33451.0
188527	15932	33490.0
188817	15941	33533.0
189346	15943	33555.0
189494	15946	33615.0
189719	15946	33626.0
190021	15953	33646.0
190306	15914	33692.0
190613	15921	33744.0
190971	15930	33778.0
191320	15933	33827.0
191611	15937	33893.0
191960	15945	33912.0
192290	15950	33949.0
192595	15964	33991.0
192973	15971	34038.0
193422	15978	34075.0
193747	15985	34112.0
194058	15989	34169.0
194390	15991	34202.0
194667	15996	34226.0
194994	16008	34255.0
195414	16014	34290.0
195888	16023	34345.0
196337	16027	34397.0
196634	16031	34430.0
196968	16034	34458.0
197404	16043	34472.0
197792	16054	34503.0
198361	16057	34546.0
198848	16061	34572.0
199309	16064	34601.0
199762	16067	34637.0
200154	16069	34672.0
200580	16076	34697.0
200988	16082	34729.0
201216	16091	34650.0
202100	16097	34650.0
202850	16103	34650.0
203548	16106	34650.0
204107	16107	34805.0
204563	16117	34842.0
205275	16122	34859.0
205889	16140	34894.0
206629	16131	34935.0
207576	16135	34979.0
208202	16136	35031.0
208713	16138	35070.0
209342	16147	35102.0
209850	16152	35145.0
211148	16161	35195.0
212013	16164	35247.0
212877	16171	35326.0
213628	16174	35404.0
214097	16175	35464.0
215085	16182	35509.0
216023	16191	35580.0
216994	16197	35654.0
217804	16202	35753.0
218738	16204	35812.0
219647	16211	35889.0
221205	16214	35944.0
222193	16227	36005.0
223223	16245	36110.0
224385	16263	36213.0
225430	16273	36317.0
227339	16281	36379.0
